FIPS,Percent,Total,%,Distance to Closest (Miles),Normalized,Flip
08037,0.091,"4,970",9.1,61.06763184,2.938936719,-1.938936719
08039,0.056,"1,470",5.6,49.74270876,2.996138371,-1.996138371
08041,0.102,"72,680",10.2,55.84377771,3.211110689,-2.211110689
08043,0.123,"5,870",12.3,17.12174266,3.940392255,-2.940392255
08045,0.08,"4,780",8,55.33803182,3.352857357,-2.352857357
08047,0.095,580,9.5,44.16030099,3.530042156,-2.530042156
08049,0.097,"1,500",9.7,27.60673893,3.647622811,-2.647622811
08051,0.098,"1,680",9.8,9.098637643,3.68217614,-2.68217614
08053,0.105,80,10.5,53.06292739,3.041645892,-2.041645892
08055,0.144,980,14.4,35.23676575,3.651889316,-2.651889316
08057,0.095,120,9.5,62.54192802,3.255029464,-2.255029464
08059,0.085,"49,260",8.5,44.7553623,2.492941431,-1.492941431
08061,0.095,140,9.5,33.18490448,2.554651227,-1.554651227
08063,0.084,610,8.4,32.21271412,3.502511151,-2.502511151
08065,0.117,920,11.7,34.11626996,3.804444013,-2.804444013
08067,0.097,"5,460",9.7,44.05398038,3.437037225,-2.437037225
08069,0.094,"32,920",9.4,32.34412887,2.769055241,-1.769055241
08071,0.138,"1,980",13.8,45.85798913,2.748216508,-1.748216508
08073,0.108,610,10.8,42.13144486,2.891524168,-1.891524168
08075,0.104,"2,320",10.4,13.34441404,4.049688844,-3.049688844
08077,0.121,"18,470",12.1,34.70272282,3.571806416,-2.571806416
08079,0.114,100,11.4,44.3134344,4.110124321,-3.110124321
08081,0.132,"1,730",13.2,24.39721008,4.012858014,-3.012858014
08083,0.124,"3,250",12.4,24.62037467,3.967106458,-2.967106458
08085,0.108,"4,580",10.8,55.08016605,2.982174246,-1.982174246
08087,0.089,"2,560",8.9,13.09106434,2.714298019,-1.714298019
08089,0.146,"2,670",14.6,36.00483058,3.822656594,-2.822656594
08091,0.099,490,9.9,79.04700011,3.331814152,-2.331814152
08093,0.077,"1,410",7.7,34.28330188,2.698070234,-1.698070234
08095,0.067,290,6.7,45.76775598,3.653203277,-2.653203277
08097,0.101,"1,820",10.1,53.12899501,2.362234802,-1.362234802
08099,0.118,"1,420",11.8,15.21077554,2.944376889,-1.944376889
08101,0.136,"22,720",13.6,38.16247892,4.05257498,-3.05257498
08103,0.102,650,10.2,20.841376,3.420250188,-2.420250188
08105,0.126,"1,420",12.6,44.28185374,3.791238598,-2.791238598
08107,0.097,"2,450",9.7,68.03611083,3.416433746,-2.416433746
08109,0.119,800,11.9,31.13489181,3.780511976,-2.780511976
08111,0.123,80,12.3,32.70062681,3.990785302,-2.990785302
08113,0.122,990,12.2,46.5051638,2.74916978,-1.74916978
08115,0.126,290,12.6,2.294766728,3.481230978,-2.481230978
08117,0.097,"2,970",9.7,52.27155187,3.166994542,-2.166994542
08119,0.102,"2,540",10.2,24.41931397,2.793257353,-1.793257353
08121,0.092,450,9.2,44.85565705,3.164352307,-2.164352307
08123,0.089,"28,190",8.9,41.51012556,2.612774952,-1.612774952
08125,0.081,810,8.1,14.0553981,1.890062405,-0.890062405
09001,0.101,"95,520",10.1,24.21552023,2.1318648,-1.1318648
09003,0.116,"103,890",11.6,35.86575664,2.07072106,-1.07072106
09005,0.104,"18,850",10.4,58.02497856,2.051826451,-1.051826451
09007,0.098,"15,900",9.8,57.47995589,1.98618229,-0.98618229
09009,0.117,"100,520",11.7,25.0400666,2.117415592,-1.117415592
09011,0.122,"32,590",12.2,74.31093281,2.195236897,-1.195236897
09013,0.094,"14,160",9.4,28.89977977,2.233801222,-1.233801222
09015,0.128,"14,930",12.8,35.36225276,0.989070214,0.010929786
10001,0.125,"22,320",12.5,2.465243232,1.155226001,-0.155226001
10003,0.101,"56,430",10.1,37.8530103,0.855949339,0.144050661
10005,0.108,"24,790",10.8,11.73618091,0.936982642,0.063017358
11001,0.098,"68,820",9.8,20.17725458,0.294094758,0.705905242
12001,0.124,"33,350",12.4,27.91003995,0.161557826,0.838442174
12003,0.105,"3,000",10.5,22.36046295,0.38689001,0.61310999
12005,0.132,"23,830",13.2,55.53965047,0.184756379,0.815243621
12007,0.15,"4,150",15,74.13841515,0.226840511,0.773159489
12009,0.114,"67,460",11.4,39.77571578,0.109858542,0.890141458
12011,0.108,"210,540",10.8,46.21616857,0.257230393,0.742769607
12013,0.139,"2,000",13.9,39.95700398,0.101195,0.898805
12015,0.129,"24,000",12.9,37.38826258,0.305862009,0.694137991
12017,0.148,"21,940",14.8,47.69221848,0.126154642,0.873845358
12019,0.095,"20,470",9.5,60.75999522,0.231733169,0.768266831
12021,0.1,"37,920",10,54.56239834,0.265570867,0.734429133
12023,0.132,"9,330",13.2,6.295226166,0.187453066,0.812546934
12027,0.152,"5,690",15.2,26.9696777,0.413420527,0.586579473
12029,0.146,"2,450",14.6,37.85518225,0.015659613,0.984340387
12031,0.122,"115,780",12.2,54.81867008,0.23722701,0.76277299
12033,0.127,"40,300",12.7,49.24640005,0.315233808,0.684766192
12035,0.115,"12,990",11.5,30.2217622,0.235371624,0.764628376
12037,0.148,"1,760",14.8,38.61713548,0.102750673,0.897249327
12039,0.132,"6,060",13.2,32.35023123,0.381325801,0.618674199
