FIPS,Percent,Total,%,Distance to Closest (Miles),Normalized,Normalized%,,,28.7,2.6
12029,0.146,"2,450",14.6,37.85518225,0.015659613,0.459770115,,,,
12031,0.122,"115,780",12.2,54.81867008,0.23722701,0.367816092,,,,
12033,0.127,"40,300",12.7,49.24640005,0.315233808,0.38697318,,,,
12035,0.115,"12,990",11.5,30.2217622,0.235371624,0.340996169,,,,
12037,0.148,"1,760",14.8,38.61713548,0.102750673,0.46743295,,,,
12039,0.132,"6,060",13.2,32.35023123,0.381325801,0.406130268,,,,
12041,0.124,"2,260",12.4,52.69183657,0.237829939,0.375478927,,,,
12043,0.124,"1,710",12.4,22.38579832,0.30962238,0.375478927,,,,
12045,0.126,"1,900",12.6,42.51627196,0.144027939,0.383141762,,,,
12047,0.166,"2,390",16.6,59.40711806,0.18584468,0.536398467,,,,
12049,0.143,"3,860",14.3,36.15588412,0.213834404,0.448275862,,,,
12051,0.15,"6,210",15,70.7026455,0.203025673,0.475095785,,,,
12053,0.138,"26,250",13.8,58.86903556,0.298401771,0.429118774,,,,
12055,0.142,"14,820",14.2,37.68700482,0.028394741,0.444444444,,,,
12057,0.114,"165,220",11.4,47.24259109,0.469362848,0.337164751,,,,
12059,0.162,"3,170",16.2,75.446324,0.109567623,0.521072797,,,,
12061,0.112,"17,650",11.2,60.74692475,0.295558418,0.329501916,,,,
12063,0.137,"6,520",13.7,64.40448082,0.125866301,0.425287356,,,,
12065,0.124,"1,770",12.4,34.93022592,0.282553537,0.375478927,,,,
12067,0.122,"1,050",12.2,66.04938984,0.109809391,0.367816092,,,,
12069,0.124,"44,100",12.4,12.49559327,0.008947904,0.375478927,,,,
12071,0.112,"84,750",11.2,64.72953339,0.02103742,0.329501916,,,,
12073,0.12,"34,920",12,40.53788305,0.462960163,0.360153257,,,,
12075,0.148,"6,060",14.8,22.62972535,0.17250645,0.46743295,,,,
12077,0.154,"1,280",15.4,24.42527382,0.133139783,0.490421456,,,,
12079,0.165,"3,070",16.5,53.97455618,0.047369371,0.53256705,,,,
12081,0.112,"44,000",11.2,35.68777791,0.294835267,0.329501916,,,,
12083,0.131,"47,350",13.1,46.11455989,0.127952836,0.402298851,,,,
12085,0.104,"16,750",10.4,62.38346799,0.173140048,0.298850575,,,,
12086,0.108,"291,150",10.8,39.27728363,0.382576298,0.314176245,,,,
12087,0.113,"8,520",11.3,68.36306299,0.092313058,0.333333333,,,,
12089,0.107,"9,210",10.7,48.63654708,0.466661734,0.310344828,,,,
12091,0.112,"23,190",11.2,24.86574206,0.160611471,0.329501916,,,,
12093,0.127,"5,270",12.7,58.0573831,0.031076595,0.38697318,,,,
