FIPS,Percent,Total,%,Distance to Closest (Miles),Normalized
13053,0.157,"1,650",15.7,139.1715445,0.20122947
13055,0.17,"4,210",17,181.2018989,0.199120758
13057,0.08,"20,340",8,125.9746923,0.016918639
13059,0.15,"19,010",15,133.5184547,0.316996983
13061,0.205,600,20.5,133.4356131,0.054312931
13063,0.124,"35,650",12.4,170.1329204,0.173529752
13065,0.161,"1,070",16.1,132.1630063,0.096808611
13067,0.081,"61,370",8.1,152.0484384,0.285285496
13069,0.142,"6,100",14.2,119.7866018,0.191916405
13071,0.146,"6,630",14.6,184.8605372,0.063946731
13073,0.074,"11,400",7.4,198.0139476,0.124871752
13075,0.138,"2,380",13.8,134.2790498,0.128362636
13077,0.091,"13,280",9.1,76.88740883,0.123091808
13079,0.134,"1,640",13.4,165.1808951,0.308174456
13081,0.191,"4,310",19.1,166.2442451,0.093766214
13083,0.121,"1,950",12.1,97.59637822,0.265101204
13085,0.096,"2,430",9.6,194.8539357,0.178629935
13087,0.146,"3,880",14.6,145.182873,0.08306449
13089,0.111,"84,090",11.1,174.0594691,0.245023428
13091,0.148,"3,080",14.8,163.3893964,0.231393414
13093,0.144,"1,960",14.4,187.8552283,0.370300834
13095,0.171,"15,160",17.1,93.61459723,0.076698201
13097,0.095,"13,820",9.5,143.1465049,0.359827223
13099,0.167,"1,710",16.7,190.5795033,0.118233608
13101,0.139,550,13.9,166.5006683,0.13275004
13103,0.083,"5,190",8.3,112.3115439,0.162659495
13105,0.162,"3,100",16.2,113.3315404,0.302998754
13107,0.169,"3,800",16.9,189.7001294,0.246183444
13109,0.141,"1,500",14.1,198.8903503,0.276791521
13111,0.129,"3,340",12.9,128.9025463,0.082529327
13113,0.065,"7,340",6.5,145.7480803,0.274254276
13115,0.144,"14,060",14.4,104.6370683,0.218177406
13117,0.062,"14,580",6.2,50.77992976,0.13513086
13119,0.157,"3,610",15.7,159.4317175,0.042278706
13121,0.113,"118,810",11.3,126.1549373,0.262840445
13123,0.134,"4,150",13.4,71.29759709,0.173409472
13125,0.128,380,12.8,164.642232,0.310395059
13127,0.133,"11,310",13.3,68.72084804,0.221162733
13129,0.132,"7,600",13.2,168.7707917,0.163115615
13131,0.132,"3,260",13.2,192.510087,0.158238293
13133,0.112,"1,990",11.2,136.8973041,0.167788125
13135,0.084,"77,750",8.4,126.5654464,0.217644013
13137,0.118,"5,320",11.8,110.6161454,0.15889758
13139,0.104,"20,870",10.4,136.4663925,0.226694433
13141,0.146,"1,240",14.6,69.92906399,0.207998963
13143,0.13,"3,850",13,88.42929908,0.06357908
13145,0.075,"2,600",7.5,87.1981939,0.170730264
13147,0.129,"3,360",12.9,118.2125098,0.218945652
13149,0.172,"2,020",17.2,193.6565291,0.119029172
13151,0.082,"18,910",8.2,183.5610625,0.120148753
13153,0.1,"15,490",10,119.0996348,0.272960605
13155,0.143,"1,340",14.3,61.62631437,0.062308065
13157,0.093,"6,550",9.3,152.254046,0.177262729
13159,0.122,"1,720",12.2,97.23287446,0.39319834
13161,0.147,"2,210",14.7,91.79195064,0.168626097
13163,0.136,"2,110",13.6,107.470367,0.226241748
13165,0.183,"1,610",18.3,88.00528799,0.263171895
13167,0.148,"1,430",14.8,107.1328167,0.072942314
13169,0.094,"2,690",9.4,76.27315606,0.188087302
13171,0.128,"2,400",12.8,169.5995423,0.101190127
13173,0.171,"1,800",17.1,132.8160588,0.218787217
13175,0.163,"7,720",16.3,159.100227,0.337958487
13177,0.095,"2,830",9.5,180.3880109,0.152831033
13179,0.12,"7,460",12,137.5097133,0.160686072
13181,0.139,"1,100",13.9,176.0434436,0.229941204
13183,0.146,"2,810",14.6,96.56261206,0.008144784
13185,0.141,"16,440",14.1,132.6461931,0.258870242
13187,0.105,"3,460",10.5,109.3550708,0.119140064
13189,0.134,"2,860",13.4,90.67886098,0.221665895
13191,0.119,"1,690",11.9,100.6854066,0.204881904
13193,0.159,"2,080",15.9,113.4902711,0.067145972
13195,0.146,"4,340",14.6,113.2821509,0.118117663
13197,0.11,930,11,86.63552378,0.176565017
13199,0.164,"3,470",16.4,185.5274672,0.287734254
13201,0.129,740,12.9,91.21536655,0.284999963
13205,0.16,"3,520",16,118.423555,0.122254279
13207,0.122,"3,340",12.2,180.6315185,0.369438255
13209,0.122,"1,110",12.2,111.043968,0.141617837
13211,0.09,"1,690",9,87.10769601,0.17403902
13213,0.136,"5,400",13.6,113.9619639,0.009000037
13215,0.153,"29,860",15.3,151.0134242,0.186534748
13217,0.115,"12,640",11.5,148.8069987,0.055510834
13219,0.068,"2,660",6.8,157.2635417,0.097858337
13221,0.104,"1,570",10.4,123.6985834,0.136652472
13223,0.08,"13,090",8,77.77726278,0.108811141
13225,0.137,"3,770",13.7,111.0109122,0.275265764
13227,0.118,"3,780",11.8,92.84158291,0.368572762
13229,0.124,"2,390",12.4,172.5851196,0.196180651
13231,0.09,"1,660",9,126.9760391,0.228491362
13233,0.142,"6,010",14.2,97.59069651,0.197090144
